Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-May-2022,486.50,499.20,485.00,495.75,491.065698208025517957,132926,5053,65275399.00,35432,26.66,14.20,9.25
16-May-2022,487.00,488.05,475.20,486.30,483.510796574597205592,219653,2405,106204597.00,24643,11.22,12.85,-0.70
13-May-2022,476.45,490.00,473.35,475.20,483.734963747266658994,173780,7738,84063462.00,44587,25.66,16.65,-1.25
12-May-2022,467.00,471.40,451.60,469.45,459.835181835194311022,80155,3177,36858089.00,22003,27.45,19.80,2.45
11-May-2022,480.00,486.00,463.40,468.45,473.715019060492383396,65843,2323,31190818.00,16023,24.34,22.60,-11.55
10-May-2022,487.55,495.00,475.00,479.70,482.340297078263306630,256902,9752,123914187.00,57153,22.25,20.00,-7.85
9-May-2022,493.20,502.00,487.65,489.55,496.221045141276364392,250148,9380,124128702.00,67713,27.07,14.35,-3.65
6-May-2022,462.00,507.10,462.00,496.85,494.886080656290730660,260860,16636,129095983.00,106186,40.71,45.10,34.85
5-May-2022,534.00,534.00,510.05,513.15,520.974293433420154336,61813,2933,32202984.00,18136,29.34,23.95,-20.85
4-May-2022,549.95,549.95,515.10,520.75,543.835511637048784785,737730,4790,401203772.00,599263,81.23,34.85,-29.20
2-May-2022,535.05,550.00,528.95,547.10,541.661825866823380498,88484,3964,47928405.00,24339,27.51,21.05,12.05
29-April-2022,545.00,561.85,543.10,545.80,553.574823144729153456,321732,10052,178102735.00,123163,38.28,18.75,0.80
28-April-2022,538.80,545.80,524.90,542.70,534.469231478918719439,108390,5146,57931120.00,25983,23.97,20.90,3.90
27-April-2022,544.00,551.00,530.05,532.10,537.119592944002807282,74093,2865,39796802.00,29930,40.40,20.95,-11.90
26-April-2022,556.90,556.90,539.25,545.50,546.266174946584613809,156322,4565,85393421.00,53586,34.28,17.65,-11.40
25-April-2022,566.95,567.05,529.70,540.30,544.657282698010074666,363883,14324,198191526.00,98731,27.13,37.35,-26.65
22-April-2022,590.00,593.00,570.55,574.20,580.658798509561304836,398272,16314,231260141.00,161582,40.57,22.45,-15.80
21-April-2022,554.35,600.00,554.20,594.85,580.018563450063364091,785145,32732,455398675.00,447846,57.04,45.80,40.50
20-April-2022,557.90,557.90,538.85,552.60,549.895302218154878633,183576,7500,100947580.00,42210,22.99,19.05,-5.30
19-April-2022,575.00,584.90,529.50,545.85,557.765617612699715076,399757,18525,222970710.00,150416,37.63,55.40,-29.15
18-April-2022,2790.00,2860.75,2742.10,2844.45,2812.807720411327547183,56111,5160,157829454.00,11902,21.21,118.65,54.45
13-April-2022,2749.00,2843.75,2719.15,2776.10,2793.017541418995826482,79070,9392,220843897.00,26599,33.64,124.60,27.10
12-April-2022,2783.50,2788.35,2670.55,2777.25,2741.546506104886703361,35791,4068,98122691.00,5988,16.73,117.80,-6.25
11-April-2022,2789.00,2795.00,2751.50,2788.10,2771.688373951258489812,42551,5524,117938112.00,14699,34.54,43.50,-0.90
8-April-2022,2799.00,2825.15,2768.45,2793.30,2788.470134208858936697,34722,2829,96821260.00,7669,22.09,56.70,-5.70
7-April-2022,2752.00,2791.00,2736.50,2746.95,2759.723487781599466964,55531,6098,153250205.00,14578,26.25,54.50,-5.05
6-April-2022,2800.30,2809.65,2750.00,2768.90,2779.849806094182825484,72200,9214,200705156.00,20434,28.30,59.65,-31.40
5-April-2022,2816.00,2850.95,2777.85,2825.85,2812.374627551355253658,76185,8453,214260761.00,25342,33.26,73.10,9.85
4-April-2022,2784.00,2818.55,2716.90,2796.50,2761.105322938147172016,90683,12715,250385314.00,34842,38.42,101.65,12.50
1-April-2022,2668.00,2732.85,2647.65,2725.70,2709.429307101176620643,62722,7426,169940825.00,25899,41.29,85.20,57.70
31-March-2022,2620.00,2657.40,2602.00,2635.45,2625.938706956285963908,66386,7875,174325567.00,22076,33.25,55.40,15.45
30-March-2022,2651.00,2669.40,2601.75,2616.95,2632.850424502332589609,34511,3492,90862301.00,12473,36.14,67.65,-34.05
29-March-2022,2648.00,2686.25,2620.75,2629.30,2653.338664252665459666,59652,6814,158276958.00,25102,42.08,65.50,-18.70
28-March-2022,2608.00,2664.30,2570.00,2645.05,2621.203951423658797703,92473,9545,242390593.00,36625,39.61,94.30,37.05
25-March-2022,2620.00,2648.60,2602.00,2617.55,2625.719270914472659292,32095,2027,84272460.00,4526,14.10,46.60,-2.45
24-March-2022,2634.00,2655.00,2605.00,2618.75,2622.816667728170180243,31402,2376,82361689.00,5738,18.27,50.00,-15.25
23-March-2022,2644.00,2692.85,2626.40,2650.75,2669.350675955402646718,140098,12836,373970691.00,51086,36.46,66.45,6.75
22-March-2022,2550.00,2639.90,2482.65,2622.40,2553.908899545898230276,117815,13168,300888777.00,49268,41.82,157.25,72.40
21-March-2022,2566.10,2606.45,2535.15,2554.30,2565.937528653813671790,41443,4255,106340149.00,10237,24.70,71.30,-11.80
17-March-2022,2590.00,2612.45,2550.00,2560.80,2585.810252363101537137,55753,5529,144166679.00,14112,25.31,62.45,-29.20
16-March-2022,2551.00,2588.00,2534.05,2562.60,2565.082661031510136369,101269,12176,259763356.00,34830,34.39,53.95,11.60
15-March-2022,2550.00,2589.00,2484.05,2524.45,2529.498137764498833544,122165,10364,309016140.00,19938,16.32,104.95,-25.55
14-March-2022,2700.00,2700.00,2444.00,2512.75,2506.305332816587539967,516050,37336,1293378867.00,172067,33.34,256.00,-187.25
11-March-2022,2757.80,2879.00,2728.25,2864.10,2822.264792158546183014,69885,9506,197233975.00,18494,26.46,150.75,106.30
10-March-2022,2790.00,2837.95,2720.00,2757.80,2775.864915336910319838,71755,9424,199182187.00,18200,25.36,117.95,-32.20
9-March-2022,2625.00,2722.70,2580.00,2697.75,2651.839222579549767293,50063,8005,132759027.00,9845,19.67,142.70,72.75
8-March-2022,2574.40,2613.45,2519.00,2577.20,2571.168378369395419948,30087,3760,77358743.00,5143,17.09,94.45,2.80
7-March-2022,2567.00,2580.00,2475.30,2553.20,2518.870957036181955917,138605,20679,349128109.00,40276,29.06,104.70,-13.80
4-March-2022,2775.00,2775.05,2613.30,2628.95,2688.989173889580281721,90799,19349,244157528.00,41549,45.76,161.75,-146.05
3-March-2022,2920.90,2920.90,2790.20,2800.10,2825.007864128998149616,45396,8812,128244057.00,16439,36.21,130.70,-120.80
2-March-2022,2890.00,2903.45,2836.25,2857.45,2871.482981168773760056,33933,7449,97438032.00,13009,38.34,67.20,-32.55
28-February-2022,2900.00,2935.15,2866.80,2910.75,2899.680687248729424258,26366,5346,76452981.00,,,68.35,10.75
25-February-2022,2947.80,2980.75,2904.00,2941.20,2935.356760520475216502,22979,3138,67451563.00,4634,20.17,76.75,-6.60
24-February-2022,2911.00,2955.45,2852.05,2882.70,2900.011275546159267089,38313,5816,111108132.00,6679,17.43,103.40,-28.30
23-February-2022,2995.00,3076.05,2995.00,3027.05,3040.866319193089136624,20721,2642,63009791.00,2841,13.71,81.05,32.05
22-February-2022,2903.00,3010.00,2861.90,2991.85,2945.358545662754079587,34930,7401,102881374.00,9595,27.47,148.10,88.85
21-February-2022,2971.15,3020.00,2909.15,2982.05,2967.374934741884961459,32563,7356,96626630.00,8300,25.49,110.85,10.90
18-February-2022,3030.30,3046.90,2970.75,2981.85,3008.732616279069767441,17200,2486,51750201.00,3287,19.11,76.15,-48.45
17-February-2022,3089.00,3124.60,3002.00,3030.30,3055.767741350383167822,22053,3175,67388846.00,4508,20.44,122.60,-58.70
16-February-2022,3195.00,3195.00,3042.20,3058.85,3102.699979394189161343,19412,2620,60229612.00,6289,32.40,152.80,-136.15
15-February-2022,2960.00,3154.40,2960.00,3144.05,3076.113910283839680502,112176,13578,345066154.00,29249,26.07,194.40,184.05
14-February-2022,2975.00,3018.95,2889.05,2948.80,2965.199007679496669133,86464,19840,256382967.00,26299,30.42,129.90,-26.20
11-February-2022,3150.00,3151.00,3060.00,3080.25,3090.435247553514043464,55079,12545,170218083.00,24448,44.39,91.00,-69.75
10-February-2022,3236.00,3249.00,3162.90,3180.45,3187.107364620938628158,27700,6252,88282874.00,9972,36.00,86.10,-55.55
9-February-2022,3257.00,3265.55,3214.00,3222.35,3236.127668887700014590,20561,3017,66538021.00,5150,25.05,51.55,-34.65
8-February-2022,3175.45,3258.35,3130.85,3239.10,3186.346350982789429135,42532,8382,135521683.00,14597,34.32,127.50,63.65
7-February-2022,3218.00,3232.80,3130.30,3175.45,3174.808901289730932079,51251,10386,162712131.00,13833,26.99,102.50,-42.55
4-February-2022,3219.40,3253.75,3166.95,3208.00,3211.096359709771141805,64363,10494,206675795.00,14600,22.68,86.80,-11.40
3-February-2022,3306.00,3336.70,3097.00,3195.40,3227.888761621819938971,111751,15500,360719797.00,22813,20.41,239.70,-110.60
2-February-2022,3489.00,3533.75,3285.20,3301.25,3413.055745489078822412,94770,12830,323455293.00,17394,18.35,248.55,-187.75
1-February-2022,3450.00,3452.40,3370.00,3440.25,3419.334942528735632183,34800,6113,118992856.00,7324,21.05,82.40,-9.75
31-January-2022,3403.00,3513.10,3365.00,3386.85,3458.081412658487757301,77924,14915,269467536.00,38304,49.16,148.10,-16.15
28-January-2022,3293.15,3444.90,3271.00,3304.80,3362.139698235444548631,58655,13171,197206304.00,21114,36.00,173.90,11.65
27-January-2022,3447.50,3447.50,3135.20,3243.15,3244.330965660803101809,62931,11894,204168992.00,16673,26.49,312.30,-204.35
25-January-2022,3485.00,3526.75,3329.75,3451.00,3439.993596751522723723,44821,11547,154183953.00,12735,28.41,197.00,-34.00
