Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,2880.000000,2940.000000,2879.000000,2928.250000,2872.142334,2681440
2021-01-04,2950.000000,3050.750000,2940.949951,3039.449951,2981.211670,5113293
2021-01-05,3039.600098,3114.250000,3039.600098,3093.000000,3033.735596,5801309
2021-01-06,3100.000000,3113.500000,3037.199951,3051.500000,2993.030518,3726716
2021-01-07,3075.000000,3080.850098,3000.250000,3032.800049,2974.688965,3717827
2021-01-08,3090.000000,3128.000000,3060.000000,3120.899902,3061.100830,5879039
2021-01-11,3230.000000,3230.000000,3146.550049,3176.449951,3115.586182,9508039
2021-01-12,3176.449951,3210.000000,3150.000000,3174.850098,3114.017334,3611458
2021-01-13,3175.000000,3177.000000,3126.250000,3158.949951,3098.421631,3572801
2021-01-14,3155.000000,3266.500000,3120.399902,3250.699951,3194.481445,6931542
2021-01-15,3235.000000,3274.000000,3210.000000,3233.350098,3177.431396,4131692
2021-01-18,3250.000000,3256.750000,3187.399902,3221.750000,3166.031982,4160906
2021-01-19,3233.000000,3279.000000,3232.000000,3260.699951,3204.308105,2975735
2021-01-20,3270.000000,3327.949951,3267.100098,3308.800049,3251.576416,3453446
2021-01-21,3305.000000,3309.149902,3262.100098,3273.850098,3217.230957,2778546
2021-01-22,3241.899902,3325.000000,3241.899902,3303.100098,3245.975098,3052459
2021-01-25,3308.949951,3339.800049,3278.649902,3291.300049,3234.378906,2272887
2021-01-27,3300.000000,3306.449951,3227.000000,3261.050049,3204.652344,2786662
2021-01-28,3230.000000,3275.000000,3183.800049,3196.550049,3141.267822,3083938
2021-01-29,3210.050049,3216.850098,3100.000000,3111.350098,3057.541504,5445659
2021-02-01,3100.000000,3165.000000,3044.100098,3139.350098,3085.057373,3985846
2021-02-02,3174.000000,3224.000000,3150.000000,3203.449951,3148.048584,2881837
2021-02-03,3213.000000,3236.000000,3162.649902,3200.050049,3144.707275,2505866
2021-02-04,3216.050049,3237.850098,3176.000000,3188.449951,3133.307861,2057261
2021-02-05,3198.949951,3205.850098,3129.000000,3157.949951,3103.334961,2366135
2021-02-08,3189.500000,3226.000000,3155.149902,3214.100098,3158.514404,2526592
2021-02-09,3195.000000,3245.800049,3164.000000,3176.899902,3121.957764,2658751
2021-02-10,3185.000000,3219.399902,3157.300049,3213.300049,3157.728027,2127983
2021-02-11,3215.000000,3219.300049,3185.050049,3206.000000,3150.554199,1165882
2021-02-12,3184.199951,3245.500000,3182.000000,3190.800049,3135.617188,2777404
2021-02-15,3209.000000,3209.000000,3131.550049,3139.850098,3085.548340,2630853
2021-02-16,3150.000000,3167.649902,3100.000000,3108.800049,3055.035400,3435770
2021-02-17,3105.100098,3132.850098,3045.550049,3073.100098,3019.952881,3678426
2021-02-18,3065.000000,3097.899902,3031.000000,3057.350098,3004.475342,4189909
2021-02-19,3058.000000,3087.149902,3016.149902,3071.850098,3018.724609,3725028
